               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.046897,           0.0061746,                   0,             0.87768,             0.72048,             0.79486,             0.36024,            0.048377,           0.0066936,                   0,           0.0096436,           0.0096436,           0.0096436
                  38,            0.047148,           0.0063644,                   0,             0.89136,             0.73625,             0.80058,             0.35976,            0.047594,           0.0068047,                   0,           0.0096337,           0.0096337,           0.0096337
                  39,            0.046728,           0.0063736,                   0,             0.89062,             0.75372,             0.81203,             0.37934,            0.047057,           0.0065801,                   0,           0.0096238,           0.0096238,           0.0096238
                  40,            0.046576,           0.0062771,                   0,             0.86317,             0.73737,             0.78965,             0.36443,            0.047085,           0.0068346,                   0,           0.0096139,           0.0096139,           0.0096139
                  41,            0.046317,           0.0061665,                   0,             0.88274,             0.76279,             0.81647,              0.3881,            0.045987,           0.0065399,                   0,            0.009604,            0.009604,            0.009604
                  42,            0.045829,           0.0061517,                   0,             0.88542,             0.76373,             0.81955,             0.39385,            0.045509,           0.0064306,                   0,           0.0095941,           0.0095941,           0.0095941
                  43,             0.04633,           0.0060624,                   0,             0.87127,             0.75651,             0.80687,             0.37224,            0.046691,           0.0066061,                   0,           0.0095842,           0.0095842,           0.0095842
                  44,            0.045612,           0.0063071,                   0,             0.89125,             0.74829,             0.81172,             0.37968,            0.045859,           0.0067436,                   0,           0.0095743,           0.0095743,           0.0095743
                  45,            0.045357,           0.0062582,                   0,              0.8947,             0.76781,             0.82864,             0.39218,            0.045508,           0.0064045,                   0,           0.0095644,           0.0095644,           0.0095644
                  46,            0.045336,           0.0060994,                   0,             0.88397,             0.75337,             0.81409,             0.37835,            0.046075,           0.0067713,                   0,           0.0095545,           0.0095545,           0.0095545
                  47,            0.044591,           0.0060976,                   0,             0.88974,             0.75707,             0.81522,             0.39256,             0.04499,           0.0063941,                   0,           0.0095446,           0.0095446,           0.0095446
                  48,            0.045099,           0.0062292,                   0,             0.89512,             0.75777,              0.8217,             0.39483,            0.045339,           0.0064866,                   0,           0.0095347,           0.0095347,           0.0095347
                  49,            0.044897,           0.0061539,                   0,             0.88391,             0.75015,             0.81507,             0.38237,            0.046058,           0.0067377,                   0,           0.0095248,           0.0095248,           0.0095248
                  50,            0.044919,           0.0061388,                   0,             0.89475,             0.75588,             0.83041,             0.39602,            0.045629,           0.0063603,                   0,           0.0095149,           0.0095149,           0.0095149
                  51,            0.045398,           0.0059821,                   0,             0.87014,             0.77032,             0.82755,              0.3969,            0.045318,           0.0064278,                   0,            0.009505,            0.009505,            0.009505
                  52,            0.044175,           0.0061321,                   0,              0.8711,             0.76247,             0.81533,             0.39141,            0.045466,           0.0065737,                   0,           0.0094951,           0.0094951,           0.0094951
                  53,            0.044122,           0.0059848,                   0,             0.88805,             0.74835,             0.81907,             0.39775,            0.044822,            0.006502,                   0,           0.0094852,           0.0094852,           0.0094852
                  54,            0.044701,           0.0060908,                   0,             0.85503,             0.75933,              0.8084,             0.38824,            0.045088,           0.0067308,                   0,           0.0094753,           0.0094753,           0.0094753
                  55,            0.044747,           0.0060923,                   0,             0.88501,             0.77471,             0.83301,              0.3995,            0.045185,            0.006249,                   0,           0.0094654,           0.0094654,           0.0094654
                  56,            0.044024,            0.005965,                   0,              0.8761,             0.79103,             0.83997,             0.40739,            0.044559,           0.0063117,                   0,           0.0094555,           0.0094555,           0.0094555
                  57,            0.043811,           0.0059903,                   0,             0.88318,             0.78047,             0.83225,             0.40085,            0.044747,           0.0063042,                   0,           0.0094456,           0.0094456,           0.0094456
                  58,            0.044109,            0.006106,                   0,             0.90761,             0.76875,             0.83631,             0.39907,            0.044897,           0.0063801,                   0,           0.0094357,           0.0094357,           0.0094357
                  59,            0.044166,             0.00604,                   0,             0.89555,             0.77209,             0.83264,             0.39503,            0.044919,           0.0063422,                   0,           0.0094258,           0.0094258,           0.0094258
                  60,             0.04343,           0.0059542,                   0,             0.90476,             0.77785,              0.8447,             0.40622,            0.044322,           0.0062468,                   0,           0.0094159,           0.0094159,           0.0094159
                  61,            0.043881,           0.0058957,                   0,             0.88842,             0.78004,             0.83818,             0.41079,            0.044215,           0.0062003,                   0,            0.009406,            0.009406,            0.009406
                  62,            0.044073,           0.0058835,                   0,             0.88638,             0.77843,             0.82766,             0.39646,            0.044884,           0.0063003,                   0,           0.0093961,           0.0093961,           0.0093961
                  63,            0.044011,           0.0059083,                   0,             0.88612,              0.7791,             0.82858,             0.39618,            0.044592,           0.0061878,                   0,           0.0093862,           0.0093862,           0.0093862
                  64,            0.043718,           0.0059468,                   0,             0.90249,             0.77753,             0.83244,             0.39911,            0.044526,           0.0063753,                   0,           0.0093763,           0.0093763,           0.0093763
                  65,            0.043472,           0.0059175,                   0,             0.90044,             0.78037,             0.84076,             0.39675,            0.045073,           0.0061901,                   0,           0.0093664,           0.0093664,           0.0093664
                  66,            0.043669,           0.0058651,                   0,             0.88889,             0.76813,             0.82695,             0.39956,            0.044348,           0.0065392,                   0,           0.0093565,           0.0093565,           0.0093565
                  67,            0.043449,           0.0058993,                   0,               0.903,             0.78577,              0.8418,             0.41076,            0.044231,            0.006206,                   0,           0.0093466,           0.0093466,           0.0093466
                  68,            0.043244,           0.0060323,                   0,             0.88668,             0.79301,             0.84204,              0.4018,            0.044279,             0.00632,                   0,           0.0093367,           0.0093367,           0.0093367
                  69,             0.04306,           0.0059143,                   0,             0.88969,             0.79721,             0.84461,             0.41262,            0.043903,           0.0061497,                   0,           0.0093268,           0.0093268,           0.0093268
                  70,             0.04343,            0.005883,                   0,             0.91015,              0.7819,             0.84559,             0.41244,             0.04364,            0.006154,                   0,           0.0093169,           0.0093169,           0.0093169
                  71,            0.043041,           0.0058704,                   0,             0.89237,             0.79071,             0.84021,             0.40822,            0.044377,           0.0061061,                   0,            0.009307,            0.009307,            0.009307
                  72,            0.043114,           0.0059675,                   0,              0.9006,             0.79314,             0.84715,             0.41264,            0.043696,           0.0061522,                   0,           0.0092971,           0.0092971,           0.0092971
                  73,             0.04269,           0.0058909,                   0,             0.90917,               0.782,             0.84895,              0.4132,            0.043774,           0.0061566,                   0,           0.0092872,           0.0092872,           0.0092872
                  74,            0.042998,           0.0058381,                   0,             0.89677,             0.77534,             0.84092,             0.41119,            0.043901,           0.0063128,                   0,           0.0092773,           0.0092773,           0.0092773
                  75,            0.042838,           0.0059228,                   0,             0.88549,              0.7882,              0.8348,             0.41237,            0.043598,           0.0062386,                   0,           0.0092674,           0.0092674,           0.0092674
                  76,            0.042851,           0.0057036,                   0,             0.90869,             0.78377,             0.84739,             0.40995,            0.043715,           0.0063418,                   0,           0.0092575,           0.0092575,           0.0092575
                  77,            0.042941,           0.0058839,                   0,              0.9142,              0.7791,             0.84211,             0.41003,            0.043566,           0.0061938,                   0,           0.0092476,           0.0092476,           0.0092476
                  78,            0.042592,           0.0060197,                   0,             0.90159,             0.78663,             0.83905,             0.41201,            0.043633,           0.0061782,                   0,           0.0092377,           0.0092377,           0.0092377
                  79,            0.042414,             0.00585,                   0,             0.91625,             0.79479,             0.85155,             0.41183,             0.04355,           0.0061834,                   0,           0.0092278,           0.0092278,           0.0092278
                  80,            0.043071,           0.0058518,                   0,             0.91253,             0.79214,              0.8493,             0.41417,            0.043346,             0.00616,                   0,           0.0092179,           0.0092179,           0.0092179
                  81,            0.043364,           0.0057785,                   0,             0.90775,             0.79165,             0.84572,             0.41086,            0.043528,           0.0061416,                   0,            0.009208,            0.009208,            0.009208
                  82,            0.043051,           0.0059388,                   0,             0.89899,             0.80147,             0.85405,             0.41348,            0.043672,             0.00605,                   0,           0.0091981,           0.0091981,           0.0091981
                  83,            0.042523,           0.0057797,                   0,             0.90066,              0.8108,             0.85475,             0.42041,            0.043387,           0.0059954,                   0,           0.0091882,           0.0091882,           0.0091882
                  84,            0.042465,           0.0057901,                   0,             0.91982,             0.80515,             0.86262,             0.42116,            0.043061,           0.0059234,                   0,           0.0091783,           0.0091783,           0.0091783
                  85,            0.042371,           0.0058581,                   0,             0.90535,             0.81334,             0.85722,             0.42775,             0.04291,           0.0059451,                   0,           0.0091684,           0.0091684,           0.0091684
                  86,            0.042352,           0.0057974,                   0,              0.9039,             0.80138,             0.85784,              0.4244,            0.042987,           0.0060183,                   0,           0.0091585,           0.0091585,           0.0091585
                  87,            0.042049,           0.0056654,                   0,             0.91959,             0.80742,             0.86006,             0.42424,            0.043188,           0.0059989,                   0,           0.0091486,           0.0091486,           0.0091486
                  88,            0.042216,           0.0058707,                   0,             0.90157,             0.80828,             0.85123,             0.43168,            0.042685,           0.0059743,                   0,           0.0091387,           0.0091387,           0.0091387
                  89,            0.041398,           0.0058235,                   0,             0.89347,             0.81052,             0.85424,             0.42797,            0.042868,           0.0060004,                   0,           0.0091288,           0.0091288,           0.0091288
                  90,             0.04243,           0.0056843,                   0,             0.89806,             0.80442,             0.85369,             0.42636,            0.042652,           0.0060125,                   0,           0.0091189,           0.0091189,           0.0091189
                  91,            0.042256,            0.005779,                   0,             0.89375,             0.80138,             0.84614,             0.42163,            0.042785,           0.0062157,                   0,            0.009109,            0.009109,            0.009109
                  92,            0.041857,           0.0058138,                   0,             0.89411,             0.81338,             0.85689,             0.42248,            0.042665,           0.0059642,                   0,           0.0090991,           0.0090991,           0.0090991
                  93,            0.041595,           0.0057064,                   0,             0.90715,             0.80734,             0.85889,             0.42448,            0.042571,           0.0059938,                   0,           0.0090892,           0.0090892,           0.0090892
                  94,            0.041814,           0.0057822,                   0,             0.91006,             0.79981,             0.85844,               0.426,            0.042526,           0.0060506,                   0,           0.0090793,           0.0090793,           0.0090793
